sub_chapter_name,hsn,rate,chapter_name,sub_category_name,category_name
"EXTRACTS, ESSENCES AND CONCENTRATES OF COFFEE, TEA OR MATE AND PREPARATIONS WITH A BASIS OF THESE PRODUCTS OR WITH A BASIS OF COFFEE, TEA OR MATE; ROASTED CHICORY & OTHER ROASTED COFFEE SUBSTITUTES, AND EXTRACTS, ESSENCES AND CONCENTRATES THEREOF ",HSN 2101 11 10,18,Chapter 21 : Miscellaneous edible preparations,"Instant coffee, flavoured","Extracts, essences and concentrates: "
"COKE AND SEMI-COKE OF COAL, OF LIGNITE OR OF PEAT, WHETHER OR NOT AGGLOMERATED; RETORT CARBON ",HSN 2704 00 30,5,"Chapter 27 : Mineral fuels,mineral oils and products of their distillation;bituminous substances;mineral waxes",Hard coke of coal,"Coke and semi-coke of coal, of lignite or of peat, whether or not agglomerated; retort carbon: "
"EXTRACTS, ESSENCES AND CONCENTRATES OF COFFEE, TEA OR MATE AND PREPARATIONS WITH A BASIS OF THESE PRODUCTS OR WITH A BASIS OF COFFEE, TEA OR MATE; ROASTED CHICORY & OTHER ROASTED COFFEE SUBSTITUTES, AND EXTRACTS, ESSENCES AND CONCENTRATES THEREOF ",HSN 2101 12 00,18,Chapter 21 : Miscellaneous edible preparations,"Preparations with basis of extracts, essences, concentrates or with a basis of coffee","Extracts, essences and concentrates: "
"EXTRACTS, ESSENCES AND CONCENTRATES OF COFFEE, TEA OR MATE AND PREPARATIONS WITH A BASIS OF THESE PRODUCTS OR WITH A BASIS OF COFFEE, TEA OR MATE; ROASTED CHICORY & OTHER ROASTED COFFEE SUBSTITUTES, AND EXTRACTS, ESSENCES AND CONCENTRATES THEREOF ",HSN 2101 11 30,18,Chapter 21 : Miscellaneous edible preparations,Coffee aroma,"Extracts, essences and concentrates: "
"EXTRACTS, ESSENCES AND CONCENTRATES OF COFFEE, TEA OR MATE AND PREPARATIONS WITH A BASIS OF THESE PRODUCTS OR WITH A BASIS OF COFFEE, TEA OR MATE; ROASTED CHICORY & OTHER ROASTED COFFEE SUBSTITUTES, AND EXTRACTS, ESSENCES AND CONCENTRATES THEREOF ",HSN 2101 11 90,,Chapter 21 : Miscellaneous edible preparations,Other,"Extracts, essences and concentrates: "
"FATS AND OILS AND THEIR FRACTIONS, OF FISH OR MARINE MAMMALS, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED ",HSN 1504 20 30,12,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Sperm oil,"Fats and Oils and their fractions of fish, other than liver oils: "
"FATS AND OILS AND THEIR FRACTIONS, OF FISH OR MARINE MAMMALS, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED ",HSN 1504 20 20,12,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Fish lipid oil,"Fats and Oils and their fractions of fish, other than liver oils: "
"YEASTS (ACTIVE OR INACTIVE); OTHER SINGLE CELL MICRO- ORGANISMS, DEAD (BUT NOT INCLUDING VACCINES OF HEADING 3002); PREPARED BAKING POWDERS ",HSN 2102 10 90,,Chapter 21 : Miscellaneous edible preparations,Other,Active yeasts: 
"GROUNDNUT OIL AND ITS FRACTIONS, WHETHER OR NOT REFINED BUT NOT CHEMICALLY MODIFIED ",HSN 1508 90 10,5,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Deodorized (Salad Oil),Other: 
"PALM OIL AND ITS FRACTIONS, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED ",HSN 1511 90 10,5,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Refined bleached deodorised palm oil,Other: 
"FATS AND OILS AND THEIR FRACTIONS, OF FISH OR MARINE MAMMALS, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED ",HSN 1504 20 10,12,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Fish body oil,"Fats and Oils and their fractions of fish, other than liver oils: "
"FATS AND OILS AND THEIR FRACTIONS, OF FISH OR MARINE MAMMALS, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED ",HSN 1504 10 91,12,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Squid liver oil,Other: 
"FATS AND OILS AND THEIR FRACTIONS, OF FISH OR MARINE MAMMALS, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED ",HSN 1504 10 99,,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Other,Other: 
"PALM OIL AND ITS FRACTIONS, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED ",HSN 1511 90 20,5,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Refined bleached deodorised palmolein,Other: 
"GROUNDNUT OIL AND ITS FRACTIONS, WHETHER OR NOT REFINED BUT NOT CHEMICALLY MODIFIED ",HSN 1508 10 00,5,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Crude oil,
"COCONUT (COPRA), PALM KERNEL OR BABASSU OIL AND FRACTIONS THEREOF, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED ",HSN 1513 21 20,5,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Babassu oil,Crude oil: 
"RAPE, COLZA OR MUSTARD OIL AND ITS FRACTIONS THEREOF, WHETHER OR NOT REFINED , BUT NOT CHEMICALLY MODIFIED ",HSN 1514 19 90,,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Other,Other: 
"RAPE, COLZA OR MUSTARD OIL AND ITS FRACTIONS THEREOF, WHETHER OR NOT REFINED , BUT NOT CHEMICALLY MODIFIED ",HSN 1514 91 10,5,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Colza oil,Crude oil: 
"COCONUT (COPRA), PALM KERNEL OR BABASSU OIL AND FRACTIONS THEREOF, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED ",HSN 1513 11 00,5,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Crude oil,Coconut (Copra) oil and its fractions: 
"COCONUT (COPRA), PALM KERNEL OR BABASSU OIL AND FRACTIONS THEREOF, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED ",HSN 1513 19 00,,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Other,Coconut (Copra) oil and its fractions: 
"SOYA-BEAN OIL AND ITS FRACTIONS, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED ",HSN 1507 90 90,,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Other,Other: 
"COCONUT (COPRA), PALM KERNEL OR BABASSU OIL AND FRACTIONS THEREOF, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED ",HSN 1513 21 10,5,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Palm kernel oil,Crude oil: 
"RAPE, COLZA OR MUSTARD OIL AND ITS FRACTIONS THEREOF, WHETHER OR NOT REFINED , BUT NOT CHEMICALLY MODIFIED ",HSN 1514 19 20,5,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Refined rapeseed oil of edible grade,Other: 
"VEGETABLE WAXES (OTHER THAN TRIGLYCERIDES),BEESWAX, OTHER INSECT WAXES AND SPERMACETI, WHETHER OR NOT REFINED OR COLOURED ",HSN 1521 90 90,,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Other,Other: 
DEGRAS: RESIDUES RESULTING FROM THE TREATMENT OF FATTY SUBSTANCES OR ANIMAL OR VEGETABLE WAXES ,HSN 1522 00 90,,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Other,Degras: residues resulting from the treatment of fatty substances or animal or vegetable waxes: 
"COCONUT (COPRA), PALM KERNEL OR BABASSU OIL AND FRACTIONS THEREOF, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED ",HSN 1513 29 10,5,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Palm kernel oil and its fractions,Other: 
DEGRAS: RESIDUES RESULTING FROM THE TREATMENT OF FATTY SUBSTANCES OR ANIMAL OR VEGETABLE WAXES ,HSN 1522 00 10,18,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Degras,Degras: residues resulting from the treatment of fatty substances or animal or vegetable waxes: 
"VEGETABLE WAXES (OTHER THAN TRIGLYCERIDES),BEESWAX, OTHER INSECT WAXES AND SPERMACETI, WHETHER OR NOT REFINED OR COLOURED ",HSN 1521 90 20,18,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Shellac wax whether or not coloured,Other: 
"VEGETABLE WAXES (OTHER THAN TRIGLYCERIDES),BEESWAX, OTHER INSECT WAXES AND SPERMACETI, WHETHER OR NOT REFINED OR COLOURED ",HSN 1521 10 19,,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Other,Carnauba Waxes: 
"NATURAL BORATES AND CONCENTRATES THEREOF (WHETHER OR NOT CALCINED), BUT NOT INCLUDING BORATES SEPARATED FROM NATURAL BRINE; NATURAL BORIC ACID CONTAINING NOT MORE THAN 85% OF H3BO3 CALCULATED ON THE DRY WEIGHT ",HSN 2528 00 10,5,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",Natural sodium borates and concentrates thereof (whether or not calcined),"Natural borates and concentrates thereof (whether or not calcined), but not including borates separated from natural brine; natural boric acid containing not more than 85% of h3bo3 calculated on the dry weight: "
"VEGETABLE WAXES (OTHER THAN TRIGLYCERIDES),BEESWAX, OTHER INSECT WAXES AND SPERMACETI, WHETHER OR NOT REFINED OR COLOURED ",HSN 1521 10 90,,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Other,Carnauba Waxes: 
DEGRAS: RESIDUES RESULTING FROM THE TREATMENT OF FATTY SUBSTANCES OR ANIMAL OR VEGETABLE WAXES ,HSN 1522 00 20,18,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Soap stocks,Degras: residues resulting from the treatment of fatty substances or animal or vegetable waxes: 
MINERAL SUBSTANCES NOT ELSEWHERE SPECIFIED OR INCLUDED ,HSN 2530 90 60,5,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement","Earth colour ochre, crude",Other: 
MINERAL SUBSTANCES NOT ELSEWHERE SPECIFIED OR INCLUDED ,HSN 2530 90 70,5,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",Other processed earth colour ochre,Other: 
MINERAL SUBSTANCES NOT ELSEWHERE SPECIFIED OR INCLUDED ,HSN 2530 90 40,5,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",Ores and concentrates of rare earth metals,Other: 
MINERAL SUBSTANCES NOT ELSEWHERE SPECIFIED OR INCLUDED ,HSN 2530 90 91,5,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",Strontium Sulphate (natural ore),Other: 
MINERAL SUBSTANCES NOT ELSEWHERE SPECIFIED OR INCLUDED ,HSN 2530 90 50,5,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",Wollastonite,Other: 
MINERAL SUBSTANCES NOT ELSEWHERE SPECIFIED OR INCLUDED ,HSN 2530 90 99,,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",Other,Other: 
MINERAL SUBSTANCES NOT ELSEWHERE SPECIFIED OR INCLUDED ,HSN 2530 90 20,5,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",Natural arsenic sulphides (such as orpiment),Other: 
MINERAL SUBSTANCES NOT ELSEWHERE SPECIFIED OR INCLUDED ,HSN 2530 90 30,5,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",Calcite,Other: 
MINERAL SUBSTANCES NOT ELSEWHERE SPECIFIED OR INCLUDED ,HSN 2530 10 10,18,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",Vermiculite,"Vermiculite, perlite and chlorites, unexpanded: "
MINERAL SUBSTANCES NOT ELSEWHERE SPECIFIED OR INCLUDED ,HSN 2530 20 00,5,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement","Kieserite, epsomite (natural magnesium sulphates)","Vermiculite, perlite and chlorites, unexpanded: "
FELDSPAR; LEUCITE; NEPHELINE AND NEPHELINE SYENITE; NFLUORSPAR ,HSN 2529 30 00,5,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",Leucite; nepheline and nepheline syenite,Fluorspar: 
MINERAL SUBSTANCES NOT ELSEWHERE SPECIFIED OR INCLUDED ,HSN 2530 90 10,5,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement","Meerschaum (whether or not in polished pieces) and amber agglomerated; meerachaum and agglomerated amber in plates, rods, etc. not worked after moulding jet",Other: 
MINERAL SUBSTANCES NOT ELSEWHERE SPECIFIED OR INCLUDED ,HSN 2530 10 90,5,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",Others (including powder),"Vermiculite, perlite and chlorites, unexpanded: "
MINERAL SUBSTANCES NOT ELSEWHERE SPECIFIED OR INCLUDED ,HSN 2530 10 20,5,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",Perlite,"Vermiculite, perlite and chlorites, unexpanded: "
FELDSPAR; LEUCITE; NEPHELINE AND NEPHELINE SYENITE; NFLUORSPAR ,HSN 2529 22 00,5,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",Containing by weight more than 97% of calcium fluoride,Fluorspar: 
FELDSPAR; LEUCITE; NEPHELINE AND NEPHELINE SYENITE; NFLUORSPAR ,HSN 2529 10 10,18,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",Lumps,Feldspar: 
FELDSPAR; LEUCITE; NEPHELINE AND NEPHELINE SYENITE; NFLUORSPAR ,HSN 2529 21 00,5,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",Containing by weight 97% or less of calcium flouride,Fluorspar: 
"NATURAL STEATITE, WHETHER OR NOT ROUGHLY TRIMMED OR MERELY CUT, BY SAWING OR OTHERWISE, INTO BLOCKS OR SLABS OF A RECTANGULAR (INCLUDING SQUARE) SHAPE; TALC ",HSN 2526 20 00,5,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",Crushed or powdered,"Not crushed, not powdered: "
"NATURAL BORATES AND CONCENTRATES THEREOF (WHETHER OR NOT CALCINED), BUT NOT INCLUDING BORATES SEPARATED FROM NATURAL BRINE; NATURAL BORIC ACID CONTAINING NOT MORE THAN 85% OF H3BO3 CALCULATED ON THE DRY WEIGHT ",HSN 2528 00 90,,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",Other,"Natural borates and concentrates thereof (whether or not calcined), but not including borates separated from natural brine; natural boric acid containing not more than 85% of h3bo3 calculated on the dry weight: "
"NATURAL STEATITE, WHETHER OR NOT ROUGHLY TRIMMED OR MERELY CUT, BY SAWING OR OTHERWISE, INTO BLOCKS OR SLABS OF A RECTANGULAR (INCLUDING SQUARE) SHAPE; TALC ",HSN 2526 10 20,5,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement","Steatite (soap stone, etc.) lumps","Not crushed, not powdered: "
"NATURAL STEATITE, WHETHER OR NOT ROUGHLY TRIMMED OR MERELY CUT, BY SAWING OR OTHERWISE, INTO BLOCKS OR SLABS OF A RECTANGULAR (INCLUDING SQUARE) SHAPE; TALC ",HSN 2526 10 90,,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",Other,"Not crushed, not powdered: "
FELDSPAR; LEUCITE; NEPHELINE AND NEPHELINE SYENITE; NFLUORSPAR ,HSN 2529 10 20,18,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",Powder,Feldspar: 
"NATURAL BORATES AND CONCENTRATES THEREOF (WHETHER OR NOT CALCINED), BUT NOT INCLUDING BORATES SEPARATED FROM NATURAL BRINE; NATURAL BORIC ACID CONTAINING NOT MORE THAN 85% OF H3BO3 CALCULATED ON THE DRY WEIGHT ",HSN 2528 00 20,5,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",Natural boric acid containing not more than 85% of H3BO3 (calculated on the dry weight),"Natural borates and concentrates thereof (whether or not calcined), but not including borates separated from natural brine; natural boric acid containing not more than 85% of h3bo3 calculated on the dry weight: "
"NATURAL STEATITE, WHETHER OR NOT ROUGHLY TRIMMED OR MERELY CUT, BY SAWING OR OTHERWISE, INTO BLOCKS OR SLABS OF A RECTANGULAR (INCLUDING SQUARE) SHAPE; TALC ",HSN 2526 10 10,5,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement","Steatite (soap stone, etc.) block","Not crushed, not powdered: "
"MICA, INCLUDING SPLITTINGS; MICA WASTE ",HSN 2525 30 90,,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",Other,Mica Waste: 
"MICA, INCLUDING SPLITTINGS; MICA WASTE ",HSN 2525 30 20,5,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",Mica factory scrap,Mica Waste: 
"NATURAL BORATES AND CONCENTRATES THEREOF (WHETHER OR NOT CALCINED), BUT NOT INCLUDING BORATES SEPARATED FROM NATURAL BRINE; NATURAL BORIC ACID CONTAINING NOT MORE THAN 85% OF H3BO3 CALCULATED ON THE DRY WEIGHT ",HSN 2528 00 30,5,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",Natural calcium borates and concentrates thereof (whether or not calcined),"Natural borates and concentrates thereof (whether or not calcined), but not including borates separated from natural brine; natural boric acid containing not more than 85% of h3bo3 calculated on the dry weight: "
"MICA, INCLUDING SPLITTINGS; MICA WASTE ",HSN 2525 30 30,5,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",Mica cuttings book form,Mica Waste: 
"MICA, INCLUDING SPLITTINGS; MICA WASTE ",HSN 2525 20 40,5,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement","Mica powder, wet ground",Mica powder: 
"MICA, INCLUDING SPLITTINGS; MICA WASTE ",HSN 2525 20 30,5,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement","Mica powder, micronised",Mica powder: 
"MICA, INCLUDING SPLITTINGS; MICA WASTE ",HSN 2525 20 90,,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",Other,Mica powder: 
"MICA, INCLUDING SPLITTINGS; MICA WASTE ",HSN 2525 20 10,5,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement","Mica flakes, 2.20 mesh",Mica powder: 
"MICA, INCLUDING SPLITTINGS; MICA WASTE ",HSN 2525 20 20,5,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement","Mica powder, dry ground",Mica powder: 
"MICA, INCLUDING SPLITTINGS; MICA WASTE ",HSN 2525 30 10,5,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",Mica mine scrap & waste,Mica Waste: 
"VEGETABLE WAXES (OTHER THAN TRIGLYCERIDES),BEESWAX, OTHER INSECT WAXES AND SPERMACETI, WHETHER OR NOT REFINED OR COLOURED ",HSN 1521 90 10,18,Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,Beewax whether or not coloured,Other: 
"MICA, INCLUDING SPLITTINGS; MICA WASTE ",HSN 2525 20 50,5,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement","Mica powder, calcined",Mica powder: 
"MICA, INCLUDING SPLITTINGS; MICA WASTE ",HSN 2525 10 40,5,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement","Mica splittings, loose",Crude mica and mica rifted into sheets or splittings: 
ASBESTOS ,HSN 2524 90 99,,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",Other,Other: 
ASBESTOS ,HSN 2524 90 39,,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",Other,Flakes or powder: 
ASBESTOS ,HSN 2524 90 91,5,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",Waste,Other: 
ASBESTOS ,HSN 2524 90 33,5,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",Crysolite,Flakes or powder: 
"MICA, INCLUDING SPLITTINGS; MICA WASTE ",HSN 2525 10 10,5,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",Mica blocks,Crude mica and mica rifted into sheets or splittings: 
"MICA, INCLUDING SPLITTINGS; MICA WASTE ",HSN 2525 10 30,5,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement","Mica splittings, book form",Crude mica and mica rifted into sheets or splittings: 
ASBESTOS ,HSN 2524 90 34,5,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",Amosite,Flakes or powder: 
"MICA, INCLUDING SPLITTINGS; MICA WASTE ",HSN 2525 10 90,,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",Other,Crude mica and mica rifted into sheets or splittings: 
"MICA, INCLUDING SPLITTINGS; MICA WASTE ",HSN 2525 10 20,5,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",Condensor films trimmed but not cut to shape,Crude mica and mica rifted into sheets or splittings: 
ASBESTOS ,HSN 2524 90 31,5,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",Chrysotile,Flakes or powder: 
ASBESTOS ,HSN 2524 90 29,,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",Other,"Fibre raw, beaten or washed or graded to length: "
ASBESTOS ,HSN 2524 90 24,5,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",Amosite,"Fibre raw, beaten or washed or graded to length: "
ASBESTOS ,HSN 2524 90 21,5,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",Chrysolite,"Fibre raw, beaten or washed or graded to length: "
ASBESTOS ,HSN 2524 90 22,5,"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",Amphibole,"Fibre raw, beaten or washed or graded to length: "
