chapter_name,sub_chapter_name,category_name,sub_category_name,hsn,rate
Chapter 21 : Miscellaneous edible preparations,"EXTRACTS, ESSENCES AND CONCENTRATES OF COFFEE, TEA OR MATE AND PREPARATIONS WITH A BASIS OF THESE PRODUCTS OR WITH A BASIS OF COFFEE, TEA OR MATE; ROASTED CHICORY & OTHER ROASTED COFFEE SUBSTITUTES, AND EXTRACTS, ESSENCES AND CONCENTRATES THEREOF ","Extracts, essences and concentrates: ","Instant coffee, flavoured",HSN 2101 11 10,18
"Chapter 27 : Mineral fuels,mineral oils and products of their distillation;bituminous substances;mineral waxes","COKE AND SEMI-COKE OF COAL, OF LIGNITE OR OF PEAT, WHETHER OR NOT AGGLOMERATED; RETORT CARBON ","Coke and semi-coke of coal, of lignite or of peat, whether or not agglomerated; retort carbon: ",Hard coke of coal,HSN 2704 00 30,5
Chapter 21 : Miscellaneous edible preparations,"EXTRACTS, ESSENCES AND CONCENTRATES OF COFFEE, TEA OR MATE AND PREPARATIONS WITH A BASIS OF THESE PRODUCTS OR WITH A BASIS OF COFFEE, TEA OR MATE; ROASTED CHICORY & OTHER ROASTED COFFEE SUBSTITUTES, AND EXTRACTS, ESSENCES AND CONCENTRATES THEREOF ","Extracts, essences and concentrates: ","Preparations with basis of extracts, essences, concentrates or with a basis of coffee",HSN 2101 12 00,18
Chapter 21 : Miscellaneous edible preparations,"EXTRACTS, ESSENCES AND CONCENTRATES OF COFFEE, TEA OR MATE AND PREPARATIONS WITH A BASIS OF THESE PRODUCTS OR WITH A BASIS OF COFFEE, TEA OR MATE; ROASTED CHICORY & OTHER ROASTED COFFEE SUBSTITUTES, AND EXTRACTS, ESSENCES AND CONCENTRATES THEREOF ","Extracts, essences and concentrates: ",Coffee aroma,HSN 2101 11 30,18
Chapter 21 : Miscellaneous edible preparations,"EXTRACTS, ESSENCES AND CONCENTRATES OF COFFEE, TEA OR MATE AND PREPARATIONS WITH A BASIS OF THESE PRODUCTS OR WITH A BASIS OF COFFEE, TEA OR MATE; ROASTED CHICORY & OTHER ROASTED COFFEE SUBSTITUTES, AND EXTRACTS, ESSENCES AND CONCENTRATES THEREOF ","Extracts, essences and concentrates: ",Other,HSN 2101 11 90,
Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,"FATS AND OILS AND THEIR FRACTIONS, OF FISH OR MARINE MAMMALS, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED ","Fats and Oils and their fractions of fish, other than liver oils: ",Sperm oil,HSN 1504 20 30,12
Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,"FATS AND OILS AND THEIR FRACTIONS, OF FISH OR MARINE MAMMALS, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED ","Fats and Oils and their fractions of fish, other than liver oils: ",Fish lipid oil,HSN 1504 20 20,12
Chapter 21 : Miscellaneous edible preparations,"YEASTS (ACTIVE OR INACTIVE); OTHER SINGLE CELL MICRO- ORGANISMS, DEAD (BUT NOT INCLUDING VACCINES OF HEADING 3002); PREPARED BAKING POWDERS ",Active yeasts: ,Other,HSN 2102 10 90,
Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,"GROUNDNUT OIL AND ITS FRACTIONS, WHETHER OR NOT REFINED BUT NOT CHEMICALLY MODIFIED ",Other: ,Deodorized (Salad Oil),HSN 1508 90 10,5
Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,"PALM OIL AND ITS FRACTIONS, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED ",Other: ,Refined bleached deodorised palm oil,HSN 1511 90 10,5
Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,"FATS AND OILS AND THEIR FRACTIONS, OF FISH OR MARINE MAMMALS, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED ","Fats and Oils and their fractions of fish, other than liver oils: ",Fish body oil,HSN 1504 20 10,12
Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,"FATS AND OILS AND THEIR FRACTIONS, OF FISH OR MARINE MAMMALS, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED ",Other: ,Squid liver oil,HSN 1504 10 91,12
Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,"FATS AND OILS AND THEIR FRACTIONS, OF FISH OR MARINE MAMMALS, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED ",Other: ,Other,HSN 1504 10 99,
Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,"PALM OIL AND ITS FRACTIONS, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED ",Other: ,Refined bleached deodorised palmolein,HSN 1511 90 20,5
Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,"GROUNDNUT OIL AND ITS FRACTIONS, WHETHER OR NOT REFINED BUT NOT CHEMICALLY MODIFIED ",,Crude oil,HSN 1508 10 00,5
Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,"COCONUT (COPRA), PALM KERNEL OR BABASSU OIL AND FRACTIONS THEREOF, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED ",Crude oil: ,Babassu oil,HSN 1513 21 20,5
Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,"RAPE, COLZA OR MUSTARD OIL AND ITS FRACTIONS THEREOF, WHETHER OR NOT REFINED , BUT NOT CHEMICALLY MODIFIED ",Other: ,Other,HSN 1514 19 90,
Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,"RAPE, COLZA OR MUSTARD OIL AND ITS FRACTIONS THEREOF, WHETHER OR NOT REFINED , BUT NOT CHEMICALLY MODIFIED ",Crude oil: ,Colza oil,HSN 1514 91 10,5
Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,"COCONUT (COPRA), PALM KERNEL OR BABASSU OIL AND FRACTIONS THEREOF, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED ",Coconut (Copra) oil and its fractions: ,Crude oil,HSN 1513 11 00,5
Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,"COCONUT (COPRA), PALM KERNEL OR BABASSU OIL AND FRACTIONS THEREOF, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED ",Coconut (Copra) oil and its fractions: ,Other,HSN 1513 19 00,
Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,"SOYA-BEAN OIL AND ITS FRACTIONS, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED ",Other: ,Other,HSN 1507 90 90,
Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,"COCONUT (COPRA), PALM KERNEL OR BABASSU OIL AND FRACTIONS THEREOF, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED ",Crude oil: ,Palm kernel oil,HSN 1513 21 10,5
Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,"RAPE, COLZA OR MUSTARD OIL AND ITS FRACTIONS THEREOF, WHETHER OR NOT REFINED , BUT NOT CHEMICALLY MODIFIED ",Other: ,Refined rapeseed oil of edible grade,HSN 1514 19 20,5
Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,"VEGETABLE WAXES (OTHER THAN TRIGLYCERIDES),BEESWAX, OTHER INSECT WAXES AND SPERMACETI, WHETHER OR NOT REFINED OR COLOURED ",Other: ,Other,HSN 1521 90 90,
Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,DEGRAS: RESIDUES RESULTING FROM THE TREATMENT OF FATTY SUBSTANCES OR ANIMAL OR VEGETABLE WAXES ,Degras: residues resulting from the treatment of fatty substances or animal or vegetable waxes: ,Other,HSN 1522 00 90,
Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,"COCONUT (COPRA), PALM KERNEL OR BABASSU OIL AND FRACTIONS THEREOF, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED ",Other: ,Palm kernel oil and its fractions,HSN 1513 29 10,5
Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,DEGRAS: RESIDUES RESULTING FROM THE TREATMENT OF FATTY SUBSTANCES OR ANIMAL OR VEGETABLE WAXES ,Degras: residues resulting from the treatment of fatty substances or animal or vegetable waxes: ,Degras,HSN 1522 00 10,18
Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,"VEGETABLE WAXES (OTHER THAN TRIGLYCERIDES),BEESWAX, OTHER INSECT WAXES AND SPERMACETI, WHETHER OR NOT REFINED OR COLOURED ",Other: ,Shellac wax whether or not coloured,HSN 1521 90 20,18
Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,"VEGETABLE WAXES (OTHER THAN TRIGLYCERIDES),BEESWAX, OTHER INSECT WAXES AND SPERMACETI, WHETHER OR NOT REFINED OR COLOURED ",Carnauba Waxes: ,Other,HSN 1521 10 19,
"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement","NATURAL BORATES AND CONCENTRATES THEREOF (WHETHER OR NOT CALCINED), BUT NOT INCLUDING BORATES SEPARATED FROM NATURAL BRINE; NATURAL BORIC ACID CONTAINING NOT MORE THAN 85% OF H3BO3 CALCULATED ON THE DRY WEIGHT ","Natural borates and concentrates thereof (whether or not calcined), but not including borates separated from natural brine; natural boric acid containing not more than 85% of h3bo3 calculated on the dry weight: ",Natural sodium borates and concentrates thereof (whether or not calcined),HSN 2528 00 10,5
Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,"VEGETABLE WAXES (OTHER THAN TRIGLYCERIDES),BEESWAX, OTHER INSECT WAXES AND SPERMACETI, WHETHER OR NOT REFINED OR COLOURED ",Carnauba Waxes: ,Other,HSN 1521 10 90,
Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,DEGRAS: RESIDUES RESULTING FROM THE TREATMENT OF FATTY SUBSTANCES OR ANIMAL OR VEGETABLE WAXES ,Degras: residues resulting from the treatment of fatty substances or animal or vegetable waxes: ,Soap stocks,HSN 1522 00 20,18
"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",MINERAL SUBSTANCES NOT ELSEWHERE SPECIFIED OR INCLUDED ,Other: ,"Earth colour ochre, crude",HSN 2530 90 60,5
"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",MINERAL SUBSTANCES NOT ELSEWHERE SPECIFIED OR INCLUDED ,Other: ,Other processed earth colour ochre,HSN 2530 90 70,5
"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",MINERAL SUBSTANCES NOT ELSEWHERE SPECIFIED OR INCLUDED ,Other: ,Ores and concentrates of rare earth metals,HSN 2530 90 40,5
"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",MINERAL SUBSTANCES NOT ELSEWHERE SPECIFIED OR INCLUDED ,Other: ,Strontium Sulphate (natural ore),HSN 2530 90 91,5
"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",MINERAL SUBSTANCES NOT ELSEWHERE SPECIFIED OR INCLUDED ,Other: ,Wollastonite,HSN 2530 90 50,5
"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",MINERAL SUBSTANCES NOT ELSEWHERE SPECIFIED OR INCLUDED ,Other: ,Other,HSN 2530 90 99,
"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",MINERAL SUBSTANCES NOT ELSEWHERE SPECIFIED OR INCLUDED ,Other: ,Natural arsenic sulphides (such as orpiment),HSN 2530 90 20,5
"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",MINERAL SUBSTANCES NOT ELSEWHERE SPECIFIED OR INCLUDED ,Other: ,Calcite,HSN 2530 90 30,5
"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",MINERAL SUBSTANCES NOT ELSEWHERE SPECIFIED OR INCLUDED ,"Vermiculite, perlite and chlorites, unexpanded: ",Vermiculite,HSN 2530 10 10,18
"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",MINERAL SUBSTANCES NOT ELSEWHERE SPECIFIED OR INCLUDED ,"Vermiculite, perlite and chlorites, unexpanded: ","Kieserite, epsomite (natural magnesium sulphates)",HSN 2530 20 00,5
"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",FELDSPAR; LEUCITE; NEPHELINE AND NEPHELINE SYENITE; NFLUORSPAR ,Fluorspar: ,Leucite; nepheline and nepheline syenite,HSN 2529 30 00,5
"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",MINERAL SUBSTANCES NOT ELSEWHERE SPECIFIED OR INCLUDED ,Other: ,"Meerschaum (whether or not in polished pieces) and amber agglomerated; meerachaum and agglomerated amber in plates, rods, etc. not worked after moulding jet",HSN 2530 90 10,5
"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",MINERAL SUBSTANCES NOT ELSEWHERE SPECIFIED OR INCLUDED ,"Vermiculite, perlite and chlorites, unexpanded: ",Others (including powder),HSN 2530 10 90,5
"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",MINERAL SUBSTANCES NOT ELSEWHERE SPECIFIED OR INCLUDED ,"Vermiculite, perlite and chlorites, unexpanded: ",Perlite,HSN 2530 10 20,5
"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",FELDSPAR; LEUCITE; NEPHELINE AND NEPHELINE SYENITE; NFLUORSPAR ,Fluorspar: ,Containing by weight more than 97% of calcium fluoride,HSN 2529 22 00,5
"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",FELDSPAR; LEUCITE; NEPHELINE AND NEPHELINE SYENITE; NFLUORSPAR ,Feldspar: ,Lumps,HSN 2529 10 10,18
"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",FELDSPAR; LEUCITE; NEPHELINE AND NEPHELINE SYENITE; NFLUORSPAR ,Fluorspar: ,Containing by weight 97% or less of calcium flouride,HSN 2529 21 00,5
"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement","NATURAL STEATITE, WHETHER OR NOT ROUGHLY TRIMMED OR MERELY CUT, BY SAWING OR OTHERWISE, INTO BLOCKS OR SLABS OF A RECTANGULAR (INCLUDING SQUARE) SHAPE; TALC ","Not crushed, not powdered: ",Crushed or powdered,HSN 2526 20 00,5
"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement","NATURAL BORATES AND CONCENTRATES THEREOF (WHETHER OR NOT CALCINED), BUT NOT INCLUDING BORATES SEPARATED FROM NATURAL BRINE; NATURAL BORIC ACID CONTAINING NOT MORE THAN 85% OF H3BO3 CALCULATED ON THE DRY WEIGHT ","Natural borates and concentrates thereof (whether or not calcined), but not including borates separated from natural brine; natural boric acid containing not more than 85% of h3bo3 calculated on the dry weight: ",Other,HSN 2528 00 90,
"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement","NATURAL STEATITE, WHETHER OR NOT ROUGHLY TRIMMED OR MERELY CUT, BY SAWING OR OTHERWISE, INTO BLOCKS OR SLABS OF A RECTANGULAR (INCLUDING SQUARE) SHAPE; TALC ","Not crushed, not powdered: ","Steatite (soap stone, etc.) lumps",HSN 2526 10 20,5
"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement","NATURAL STEATITE, WHETHER OR NOT ROUGHLY TRIMMED OR MERELY CUT, BY SAWING OR OTHERWISE, INTO BLOCKS OR SLABS OF A RECTANGULAR (INCLUDING SQUARE) SHAPE; TALC ","Not crushed, not powdered: ",Other,HSN 2526 10 90,
"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",FELDSPAR; LEUCITE; NEPHELINE AND NEPHELINE SYENITE; NFLUORSPAR ,Feldspar: ,Powder,HSN 2529 10 20,18
"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement","NATURAL BORATES AND CONCENTRATES THEREOF (WHETHER OR NOT CALCINED), BUT NOT INCLUDING BORATES SEPARATED FROM NATURAL BRINE; NATURAL BORIC ACID CONTAINING NOT MORE THAN 85% OF H3BO3 CALCULATED ON THE DRY WEIGHT ","Natural borates and concentrates thereof (whether or not calcined), but not including borates separated from natural brine; natural boric acid containing not more than 85% of h3bo3 calculated on the dry weight: ",Natural boric acid containing not more than 85% of H3BO3 (calculated on the dry weight),HSN 2528 00 20,5
"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement","NATURAL STEATITE, WHETHER OR NOT ROUGHLY TRIMMED OR MERELY CUT, BY SAWING OR OTHERWISE, INTO BLOCKS OR SLABS OF A RECTANGULAR (INCLUDING SQUARE) SHAPE; TALC ","Not crushed, not powdered: ","Steatite (soap stone, etc.) block",HSN 2526 10 10,5
"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement","MICA, INCLUDING SPLITTINGS; MICA WASTE ",Mica Waste: ,Other,HSN 2525 30 90,
"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement","MICA, INCLUDING SPLITTINGS; MICA WASTE ",Mica Waste: ,Mica factory scrap,HSN 2525 30 20,5
"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement","NATURAL BORATES AND CONCENTRATES THEREOF (WHETHER OR NOT CALCINED), BUT NOT INCLUDING BORATES SEPARATED FROM NATURAL BRINE; NATURAL BORIC ACID CONTAINING NOT MORE THAN 85% OF H3BO3 CALCULATED ON THE DRY WEIGHT ","Natural borates and concentrates thereof (whether or not calcined), but not including borates separated from natural brine; natural boric acid containing not more than 85% of h3bo3 calculated on the dry weight: ",Natural calcium borates and concentrates thereof (whether or not calcined),HSN 2528 00 30,5
"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement","MICA, INCLUDING SPLITTINGS; MICA WASTE ",Mica Waste: ,Mica cuttings book form,HSN 2525 30 30,5
"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement","MICA, INCLUDING SPLITTINGS; MICA WASTE ",Mica powder: ,"Mica powder, wet ground",HSN 2525 20 40,5
"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement","MICA, INCLUDING SPLITTINGS; MICA WASTE ",Mica powder: ,"Mica powder, micronised",HSN 2525 20 30,5
"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement","MICA, INCLUDING SPLITTINGS; MICA WASTE ",Mica powder: ,Other,HSN 2525 20 90,
"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement","MICA, INCLUDING SPLITTINGS; MICA WASTE ",Mica powder: ,"Mica flakes, 2.20 mesh",HSN 2525 20 10,5
"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement","MICA, INCLUDING SPLITTINGS; MICA WASTE ",Mica powder: ,"Mica powder, dry ground",HSN 2525 20 20,5
"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement","MICA, INCLUDING SPLITTINGS; MICA WASTE ",Mica Waste: ,Mica mine scrap & waste,HSN 2525 30 10,5
Chapter 15 : Animal and vegetable fats and oils and their cleavage products;prepared edible fats; animal or vegetable waxes,"VEGETABLE WAXES (OTHER THAN TRIGLYCERIDES),BEESWAX, OTHER INSECT WAXES AND SPERMACETI, WHETHER OR NOT REFINED OR COLOURED ",Other: ,Beewax whether or not coloured,HSN 1521 90 10,18
"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement","MICA, INCLUDING SPLITTINGS; MICA WASTE ",Mica powder: ,"Mica powder, calcined",HSN 2525 20 50,5
"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement","MICA, INCLUDING SPLITTINGS; MICA WASTE ",Crude mica and mica rifted into sheets or splittings: ,"Mica splittings, loose",HSN 2525 10 40,5
"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",ASBESTOS ,Other: ,Other,HSN 2524 90 99,
"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",ASBESTOS ,Flakes or powder: ,Other,HSN 2524 90 39,
"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",ASBESTOS ,Other: ,Waste,HSN 2524 90 91,5
"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",ASBESTOS ,Flakes or powder: ,Crysolite,HSN 2524 90 33,5
"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement","MICA, INCLUDING SPLITTINGS; MICA WASTE ",Crude mica and mica rifted into sheets or splittings: ,Mica blocks,HSN 2525 10 10,5
"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement","MICA, INCLUDING SPLITTINGS; MICA WASTE ",Crude mica and mica rifted into sheets or splittings: ,"Mica splittings, book form",HSN 2525 10 30,5
"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",ASBESTOS ,Flakes or powder: ,Amosite,HSN 2524 90 34,5
"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement","MICA, INCLUDING SPLITTINGS; MICA WASTE ",Crude mica and mica rifted into sheets or splittings: ,Other,HSN 2525 10 90,
"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement","MICA, INCLUDING SPLITTINGS; MICA WASTE ",Crude mica and mica rifted into sheets or splittings: ,Condensor films trimmed but not cut to shape,HSN 2525 10 20,5
"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",ASBESTOS ,Flakes or powder: ,Chrysotile,HSN 2524 90 31,5
"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",ASBESTOS ,"Fibre raw, beaten or washed or graded to length: ",Other,HSN 2524 90 29,
"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",ASBESTOS ,"Fibre raw, beaten or washed or graded to length: ",Amosite,HSN 2524 90 24,5
"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",ASBESTOS ,"Fibre raw, beaten or washed or graded to length: ",Chrysolite,HSN 2524 90 21,5
"Chapter 25 : Salt;sulphur;earths and stone;plastering materials, lime and cement",ASBESTOS ,"Fibre raw, beaten or washed or graded to length: ",Amphibole,HSN 2524 90 22,5
